,name_muni,private_school_type,geometry,size,education_level_others,urban,government_level,centroid_column,x,y
204902,Porto Alegre,Não Informado,POINT (-51.08015 -30.24108),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.08015 -30.24108),-51.08015,-30.24108
204903,Porto Alegre,Não Informado,POINT (-51.22134 -30.07187),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.22134 -30.07187),-51.22134,-30.07187
204904,Porto Alegre,Não Informado,POINT (-51.12339 -30.03896),Mais de 1000 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.12339 -30.03896),-51.12339,-30.03896
204905,Porto Alegre,Não Informado,POINT (-51.15659 -30.00283),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.15659 -30.00283),-51.15659,-30.00283
204906,Porto Alegre,Não Informado,POINT (-51.17367 -30.00511),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.17367 -30.00511),-51.17367,-30.00511
204907,Porto Alegre,Não Informado,POINT (-51.15886 -29.99831),,,Urbana,Estadual,POINT (-51.15886 -29.99831),-51.15886,-29.99831
204908,Porto Alegre,Não Informado,POINT (-51.17687 -30.04279),Entre 51 e 200 matrículas de escolarização,,Urbana,Estadual,POINT (-51.17687 -30.04279),-51.17687,-30.04279
204909,Porto Alegre,Não Informado,POINT (-51.16242 -30.00597),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.16242 -30.00597),-51.16242,-30.00597
204910,Porto Alegre,Não Informado,POINT (-51.23243 -30.11093),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.23243 -30.11093),-51.23243,-30.11093
204911,Porto Alegre,Não Informado,POINT (-51.22038 -30.15579),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.22038 -30.15579),-51.22038,-30.15579
204912,Porto Alegre,Não Informado,POINT (-51.24316 -30.09593),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.24316 -30.09593),-51.24316,-30.09593
204913,Porto Alegre,Não Informado,POINT (-51.2227 -30.03681),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.2227 -30.03681),-51.2227,-30.03681
204914,Porto Alegre,Não Informado,POINT (-51.23222 -30.09793),Entre 501 e 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.23222 -30.09793),-51.23222,-30.09793
204915,Porto Alegre,Não Informado,POINT (-51.21874 -30.05359),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.21874 -30.05359),-51.21874,-30.05359
204916,Porto Alegre,Não Informado,POINT (-51.23029 -30.0745),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.23029 -30.0745),-51.23029,-30.0745
204917,Porto Alegre,Não Informado,POINT (-51.10037 -29.99646),Mais de 1000 matrículas de escolarização,,Urbana,Estadual,POINT (-51.10037 -29.99646),-51.10037,-29.99646
204920,Porto Alegre,Não Informado,POINT (-51.1701 -30.07814),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.1701 -30.07814),-51.1701,-30.07814
204921,Porto Alegre,Não Informado,POINT (-51.198846530749 -30.0279089334733),Entre 201 e 500 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.198846530749 -30.0279089334733),-51.198846530749,-30.0279089334733
204923,Porto Alegre,Não Informado,POINT (-51.20397 -30.07359),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.20397 -30.07359),-51.20397,-30.07359
204924,Porto Alegre,Não Informado,POINT (-51.14605 -30.04887),Entre 201 e 500 matrículas de escolarização,Atividade Complementar,Urbana,Estadual,POINT (-51.14605 -30.04887),-51.14605,-30.04887
204925,Porto Alegre,Não Informado,POINT (-51.19507 -29.9858),Entre 201 e 500 matrículas de escolarização,,Urbana,Estadual,POINT (-51.19507 -29.9858),-51.19507,-29.9858
204926,Porto Alegre,Não Informado,POINT (-51.1296 -30.00711),Entre 501 e 1000 matrículas de escolarização,Atendimento Educacional Especializado,Urbana,Estadual,POINT (-51.1296 -30.00711),-51.1296,-30.00711
